zh-CN,ko
一丝不苟的技术员,꼼꼼한 기술자
技术员,기술자
麻木的技术员,무신경한 기술자
曼尼安保小队长,매그니 소대장
朱诺&闪电,주노 & 그로자
美玲＆樱花,메이링 & 사쿠라
指令输入>,명령 입력>
数据记录>,데이터 기록>
战战兢兢的誓卫军,겁많은 보위군
胆大的誓卫军,대담한 보위군
“闪电”,“그로자”
排队旅客,줄 서는 관광객
检查员,검사 인원
房产经纪人,부동산 매니저
工作者,일꾼
斯奈贝尔,슈나이벨
幽灵,유령
施特劳斯,슈트라우스
列车广播,열차 방송
琼斯,존스
艾莉芙,엘리프
科德韦尔,콜드웰
克拉索,클라소
丽萨,리자
OTs-14&闪电,OTs-14 & 그로자
帕拉蒂斯众,패러데우스 일당
M4 SOPMODⅡ,M4 SOPMODⅡ
RO635,RO635
M4 SOPMODⅡ&索普,M4 SOPMODⅡ & 소프
Jr,Jr
RO635&洛贝拉&Jr,RO635 & 로벨라 & Jr
洛贝拉&Jr,로벨라 & Jr
居民A,주민 A
居民B,주민 B
视频,영상
爱因斯,아인스
米卡,미카
萨沙,사샤
瓦利亚,발리야
乔治&芙铃,조지 & 페일린
卡米尔,카밀
海伦&乌尔丽德&巴希达,헬렌 & 울리드 & 바틸다
黄区难民,옐로우존 난민
热忱的年轻人,열정적인 청년
紧张的年轻人,긴장한 청년
平板电脑,태블릿 PC
希罗底守卫,시로디아 경비병
曼尼安保人形,매그니 시큐리티 인형
瓦利亚的爸爸,발리야의 아빠
瓦利亚&萨沙,발리야 & 사샤
曼尼安保士官,매그니 시큐리티 부사관
狂猎,와일드 헌트
维克托&贝丝蒂,벡터 & 바스티
抵抗的年轻人,저항하는 청년
朗尼&施特劳斯,로니 & 슈트라우스
G41,G41
“掌管D65唯一的神明”,'D65를 관장하는 유일신'
丽兹,리즈
女性村民,마을 여자
男性村民,마을 남자
白烨戈,벨루가
露尼西,루니샤
永远’s LZ,>영원한 완장
杠精英技术员,>초엘리트 기술자
MIMimiMICats,> MIMimiMICats
粗俗的瓦良格帮,천박한 바랴그단원
瓦良格帮守卫,바랴그단 경비병
铁砂团士兵,철사단 병사
夏朵利兹,섀도리스
是梭鱼,스피라에나
阿姆尼之壳,옴니셸 드론
海琳,헬린
M4A1,M4A1
AR-15,AR-15
奇洛威格,칠로베이그
梦想家,드리머
破坏者,디스트로이어
代理人,에이전트
机灵的情报人形,영리한 정보 인형
严谨的情报人形,진지한 정보 인형
坚毅的人形们,의연한 인형들
托卡列夫,토카레프
李·恩菲尔德,리 엔필드
MG36,MG36
AR小队全员,AR소대 전원
威严的女声,위엄 있는 여성 목소리
狱警,교도관
K2,K2
MDR,MDR
AA12,AA-12
95式,95식
WA2000,WA2000
失去武装的战术人形,무장을 잃은 전술인형
帕那刻亚,파나케이아
曼尼安保成员小队长,매그니 대원 소대장
针？,이그라?
不耐烦的曼尼安保成员,짜증 내는 매그니 대원
冷淡的曼尼安保成员,냉담한 매그니 대원
受伤的莫科什誓卫军,부상당한 모코쉬 보위군
另一位受伤的誓卫军,부상당한 또 다른 보위군
受伤的黄区居民,부상당한 옐로우존 주민
AA-12,AA-12
弗拉基米尔,블라디미르
六分仪-一形态,섹스턴스-제1형태
男性路人,행인 남성
SoundOnly测试,SoundOnly 테스트
男性路人戴帽子,모자 쓴 행인 남성
年轻帕拉蒂斯徒从,젊은 패러데우스 신도
年老帕拉蒂斯徒从,늙은 패러데우스 신도
小哔原型,삐삐 프로토타입
显示名字测试,이름 표시 테스트
普通人形,일반 인형
中年女性,중년 여성
勘测部队士兵A,조사부대 병사 A
勘测部队士兵B,조사부대 병사 B
比悠卡SSR,비욜카 SSR
乌琪SSR,루체 SSR
蓝雪球战损,블루스피어 중상
德米特里年长,드미트리(노년)
米什缇SSR,미슈티 SSR
哈卜茜SSR,하프시 SSR
德米特里年轻,젊은 드미트리
维尔德SSR,웰로드 SSR
可露凯SSR,클루카이 SSR
维克托SSR,벡터 SSR
波文·肯德拉,보웬 켄드라
幼熙SSR,유희 SSR
佩莉SSR,페리 SSR
秋桦SSR,추화 SSR
绯SSR,페이 SSR
妮基塔SSR,니키타 SSR
小哔丹德莱,삐삐 댄들라이
眨眼开,눈 깜빡임 시작
眨眼维持,눈 깜빡임 유지
眨眼关,눈 깜빡임 종료
闭眼开,눈 감기 시작
闭眼维持,눈 감기 유지
闭眼关,눈 감기 종료
白区男性,화이트존 남성
白区女性,화이트존 여성
白区男孩,화이트존 남자아이
白区女孩,화이트존 여자아이
绿区男性,그린존 남성
绿区女性,그린존 여성
绿区男孩,그린존 남자아이
绿区女孩,그린존 여자아이
黄区男性,옐로우존 남성
黄区女性,옐로우존 여성
黄区男孩,옐로우존 남자아이
黄区女孩,옐로우존 여자아이
小雨结束,가랑비 종료
大雨,큰비
大雨结束,큰비 종료
暴雨,폭우
暴雨结束,폭우 종료
全屏闪光,전체 화면 섬광
全屏闪光结束,전체 화면 섬광 종료
齐默尔曼（里）,치머만(내면)
莱娅SSR,리바 SSR
埃芙SSR,앨바 SSR
洛贝拉SSR,로벨라 SSR
索普NPC,소프 NPC
黑闪电,검은 그로자
G11女仆,G11 메이드
睁眼,눈 뜨기
睁眼结束,눈 뜨기 종료
醒来,기상
醒来结束,기상 종료
眨眼示意,눈짓
眨眼示意结束,눈짓 종료
受击,피격
受击结束,피격 종료
受伤出血,부상 출혈
受伤出血结束,부상 출혈 종료
左刀光,좌측 검광
左刀光结束,좌측 검광 종료
右刀光,우측 검광
右刀光结束,우측 검광 종료
左搏击弧线,좌측 격투 궤적
左搏击弧线结束,좌측 격투 궤적 종료
右搏击弧线,우측 격투 궤적
右搏击弧线结束,우측 격투 궤적 종료
照相闪光,카메라 플래시
照相闪光结束,카메라 플래시 종료
爆炸结束,폭발 종료
子弹受击,총격 피격
子弹受击结束,총격 피격 종료
警报结束,경보 종료
崩塌落石,붕괴 낙석
崩塌落石结束,붕괴 낙석 종료
夜视仪,야간 투시경
夜视仪结束,야간 투시경 종료
录制界面,녹화 화면
录制界面结束,녹화 화면 종료
火星飘落,불티 흩날림
火星飘落结束,불티 흩날림 종료
莱妮SSR,레니 SSR
莱妮蝴蝶,레니 나비
莱娅蝴蝶,리바 나비
莱娅一代,리바 1세대
芙洛伦SSR,플로렌스 SSR
莱娜潜入装,레나 잠입복
威玛西娜SSR,보이마스티나 SSR
奇洛薇格白大褂,칠로베이그 가운
格琳娜病服,카리나 환자복
6P62BOSS,6P62 보스
欧菲露妮研究员,오르페루네 연구원
欧菲露妮正装,오르페루네 정장
安洁莉娅武装,안젤리아 무장
6P62怪盗,6P62 괴도
乔治年轻,젊은 조지
瓦西尔监禁,바실 감금
瓦西尔年轻,젊은 바실
乌尔丽德面具,울리드 가면
罗蕾莱SSR,로렐라이 SSR
罗蕾莱狱警,로렐라이 교도관
闪电面具,그로자 가면
克罗丽科面具,캐롤릭 가면
索米面具,수오미 가면
财团人形,재단 인형
六分仪投放,섹스턴스 투입
纳美西丝异构体,네메시스 이성질체
星渊（幼）,아타락시스(어림)
黑眼一形态,다츄어 제1형태
丹德莱炸毛,댄들라이 발끈
莱娅西装,리바 정장
曼尼安保成员B,매그니 대원 B
夏安战损,샤이엔 중상
夏安仓管,샤이엔 창고지기
玛绮朵小熊,마키아토 곰돌이
春田咖啡馆,스프링필드 카페
春田少1,스프링필드 소녀1
莱娜日常装,레나 일상복
埃芙B,앨바 B
弗拉格,플래그
配送员B,배달원 B
普通人形A,일반 인형 A
配送站站长,배송소장
配送员A,배달원 A
黄区女工,옐로우존 여성 노동자
知穗NPC,지수 NPC
波波沙SSR,파파샤 SSR
海伦娜附体,헬레나 빙의
闪电SR,그로자 SR
克罗丽科SR,캐롤릭 SR
樱花SSR,사쿠라 SSR
纳美西丝SP,네메시스 SP
闪电战损,그로자 중상
斗篷人,망토 쓴 사람
佩里缇亚SSR,페리티아 SSR
黑眼战损,다츄어 중상
黑闪电战斗,검은 그로자 전투
黑闪电投放,검은 그로자 투입
黑闪电婚纱,검은 그로자 웨딩드레스
技术人员女,기술자 여
普通军人女,일반 군인 여
技术人员男,기술자 남
普通军人男,일반 군인 남
指挥官一代,지휘관 1세대
闪电一代,그로자 1세대
闪电礼服,그로자 드레스
索普投放,소프 투입
索普一代,소프 1세대
官方武装人员男,공식 무장 인원 남
通用生骸,범용 시생물
雇佣兵男,용병 남
纳美西丝人类,네메시스 인간
科德韦尔年轻,젊은 콜드웰
科德韦尔防护服,콜드웰 방호복
雇佣兵女,용병 여
格琳娜休闲服,카리나 사복
JR,Jr
医护人员男,의료진 남
特工男,요원 남
官方武装人员女,공식 무장 인원 여
医护人员女,의료진 여
特工女,요원 여
格琳娜防护服,카리나 방호복
莱布妮丝防护服,라이브니스 방호복
兰汀防护服,렌틴 방호복
神秘人2,수수께끼의 인물 2
洛贝拉一代,로벨라 1세대
茧二阶段,코쿤 2단계
V3机器人,V3 로봇
白区老人男,화이트존 노인 남
白区老人女,화이트존 노인 여
绿区老人男,그린존 노인 남
绿区老人女,그린존 노인 여
黄区老人男,옐로우존 노인 남
黄区老人女,옐로우존 노인 여
芙铃投放,페일린 투입
白烨戈NPC,벨루가 NPC
杜莎妮SSR,드셰브니 SSR
阿斯缇亚投放,아스테리아 투입
丹德莱战斗,댄들라이 전투
奇洛薇格涅托,칠로베이그 니토
格琳娜战斗,카리나 전투
李恩菲尔德,리 엔필드
经纪人,매니저
伊格蕾塔&？？？,이글레타 & ???
切利娅,첼리아
吉塞拉,지젤라
路过的学生,지나가던 학생
海泽尔,헤이젤
一无所知的赏金猎人,아무것도 모르는 현상금 사냥꾼
知道很多的赏金猎人,많은 것을 아는 현상금 사냥꾼
前台接待,프론트 접수원
谄媚的总务部部长,아부하는 총무부장
裘德,주드
珂狄赛普,코디셉스
左右逢源的摊贩,능수능란한 노점상
跑腿的小孩,심부름하는 아이
抱怨的常客,불평하는 단골
P38,P38
匆忙的路人,서두르는 행인
会场主持,행사장 사회자
伊斯雷,이슬리
墨丘利之音制作人,머큐리의 목소리 제작자
财团中高层,재단 중견 간부
沉稳的赏金猎人,침착한 현상금 사냥꾼
惊慌失措的顾客,허둥대는 고객
P.M.C.机械,P.M.C. 기계
癫狂的妮特？,미쳐버린 니터?
恐怖的妮特？,무시무시한 니터?
阴森的妮特？,음산한 니터?
物流站站长,물류 터미널 소장
怯懦的妮特？,겁먹은 니터?
物流站人员,물류 터미널 직원
餐厅员工,식당 종업원
急躁的餐厅老板,성급한 식당 주인
神情空洞的女孩,표정이 텅 빈 소녀
谨慎的治安队成员,신중한 치안대원
西奥,테오
海莉,헤일리
粗心的工作人员,부주의한 직원
年轻的吉塞拉,젊은 지젤라
开心的妮特？,즐거운 니터?
抱怨的妮特？,불평하는 니터?
稳重的妮特？,점잖은 니터?
曼尼安保武装小队队长,매그니 무장 소대장
严肃的曼尼安保成员,엄숙한 매그니 대원
流泪的中年女子,눈물짓는 중년 여성
穿着考究的男子,차림새가 정갈한 남성
阿伦,앨런
被操控的小女孩,조종받는 여자아이
黄区难民A,옐로우존 난민 A
黄区难民B,옐로우존 난민 B
黄区难民C,옐로우존 난민 C
黄区难民D,옐로우존 난민 D
车站广告,역내 광고
自信的路人,자신감 넘치는 행인
笃信的路人,굳게 믿는 행인
被采访者,인터뷰 대상자
视频的声音,영상 속 목소리
疑似黄区居民,옐로우존 주민으로 추정
